"","x"
"1",0.343703475416315
"2",0.628504220055725
"3",0.298447676164187
"4",0.292860622201506
"5",0.259933251576414
"6",0.112599251332724
"7",0.688216680490229
"8",0.389908157601501
"9",0.402590801227872
"10",0.632103645549187
"11",0.366217053165331
"12",0.3689298648325
"13",0.478405289351087
"14",0.520406269711689
"15",0.688562265118308
"16",0.67976234195249
"17",0.0584470217114921
"18",0.388575236144878
"19",0.13941067601395
"20",0.73951468071704
"21",0.104448336462731
"22",0.510201442298351
"23",0.277873237058093
"24",0.078966284046455
"25",0.567912525700249
"26",0.30764296858231
"27",0.782511759811506
"28",0.405561953926783
"29",0.47610466305528
"30",0.22076538297555
"31",0.429759589651175
"32",0.391464452057796
"33",0.193039077339427
"34",0.197265373068621
"35",0.211557434320449
"36",0.701136897498063
"37",0.211406971778117
"38",0.39046800206747
"39",0.562489817295408
"40",0.296526549245308
"41",0.0971158663777016
"42",0.503178027913681
"43",0.225333231787607
"44",0.676271481933982
"45",0.340933172269185
"46",0.165309802231384
"47",0.885820949792005
"48",0.303034232198356
"49",0.390526790482003
"50",0.69069303254418
"51",0.573156990566569
"52",0.307088391785425
"53",0.319661835111416
"54",0.243192555675329
"55",0.320742150250295
"56",0.315747944551228
"57",0.553192337015631
"58",0.64478398688655
"59",0.246825818652786
"60",0.211203866801188
"61",0.647860503467117
"62",0.510973801250357
"63",0.634314490553238
"64",0.468095088008488
"65",0.377650336899808
"66",0.632731882270016
"67",0.655714944124396
"68",0.648373690684129
"69",0.434168544320154
"70",0.427719717143704
"71",0.355330524281662
"72",0.569782579611202
"73",0.0267038639846784
"74",0.704940466497994
"75",0.368199721473067
"76",0.411481178430594
"77",0.0869777284667023
"78",0.0223167454868393
"79",0.422882309645405
"80",0.420282119482843
"81",0.304309070302793
"82",0.532205076922128
"83",0.337727429190188
"84",0.613652530286425
"85",0.448096526326062
"86",0.629422741559506
"87",0.75315547924491
"88",0.191916541320928
"89",0.267864207746694
"90",0.758768913410487
"91",0.53152141777968
"92",0.502525999069256
"93",0.613243436247245
"94",0.791664855192543
"95",0.636860482446438
"96",0.274207120228134
"97",0.310430324954136
"98",0.420777917956963
"99",0.171131685888248
"100",0.322072348352007
"101",0.533591358506658
"102",0.389661391452191
"103",0.678032479656915
"104",0.412802623123349
"105",0.220538356867944
"106",0.212792034647865
"107",0.259358743700169
"108",0.443682470986428
"109",0.588250038806089
"110",0.146502902959952
"111",0.421809067623059
"112",0.811792953804649
"113",0.512615462075751
"114",0.585763940665508
"115",0.205785961887096
"116",0.380271082193655
"117",0.604766099928487
"118",0.0939299661368159
"119",0.412936428649996
"120",0.164482374412516
"121",0.454518168426076
"122",0.262947890704629
"123",0.261015544041536
"124",0.378116302061371
"125",0.595285421916952
"126",0.141125016891877
"127",0.139293540304927
"128",0.297087285616983
"129",0.509410997038264
"130",0.538365317828765
"131",0.21444934963855
"132",0.0822245772262735
"133",0.276934920679012
"134",0.684963470162962
"135",0.129400035559393
"136",0.615206389755201
"137",0.379383412274369
"138",0.631425832752055
"139",0.51009704822664
"140",0.826495231109965
"141",0.347538483905835
"142",0.660639860477114
"143",0.737277914956776
"144",0.256828680688354
"145",0.731728165881757
"146",0.697030358840997
